City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Mongoumba,CF,2022-05-07 20:28:05,3.6415,18.5936,72.95,82,64,1.68
141,Meulaboh,ID,2022-05-07 20:24:48,4.1363,96.1285,76.77,90,100,6.08
142,Bluff,NZ,2022-05-07 20:23:42,-46.6,168.3333,57.79,98,100,5.21
143,Vila Velha,BR,2022-05-07 20:25:41,-20.3297,-40.2925,76.95,73,20,12.66
144,Puerto Ayacucho,VE,2022-05-07 20:28:07,5.6639,-67.6236,77.79,85,99,5.75
145,Komatsu,JP,2022-05-07 20:28:07,36.4026,136.4509,52.72,76,20,10.36
146,Vila Franca Do Campo,PT,2022-05-07 20:28:08,37.7167,-25.4333,64.81,91,93,1.19
147,Najran,SA,2022-05-07 20:28:08,17.4924,44.1277,81.25,39,39,9.28
148,Theog,IN,2022-05-07 20:28:09,31.1167,77.35,56.16,49,4,5.19
149,Ucluelet,CA,2022-05-07 20:28:09,48.9329,-125.5528,52.11,74,100,3.0
150,Klaksvik,FO,2022-05-07 20:28:10,62.2266,-6.589,45.52,72,100,5.73
151,Alvand,IR,2022-05-07 20:28:10,36.3187,49.1678,46.92,51,36,2.82
152,Pevek,RU,2022-05-07 20:26:53,69.7008,170.3133,25.61,90,100,5.14
153,Avarua,CK,2022-05-07 20:28:11,-21.2078,-159.775,82.45,78,40,8.05
154,Hofn,IS,2022-05-07 20:28:11,64.2539,-15.2082,44.1,77,10,11.74
155,Sovetskiy,RU,2022-05-07 20:28:12,61.3614,63.5842,37.08,96,98,4.81
156,Olafsvik,IS,2022-05-07 20:28:12,64.8945,-23.7142,43.86,84,100,14.72
157,Atuona,PF,2022-05-07 20:28:13,-9.8,-139.0333,78.4,73,19,16.2
158,Kota Kinabalu,MY,2022-05-07 20:27:54,5.9749,116.0724,76.98,94,20,1.99
159,Puerto Escondido,MX,2022-05-07 20:26:23,15.85,-97.0667,86.83,66,75,9.22
160,Hamilton,US,2022-05-07 20:23:55,39.1834,-84.5333,62.69,74,100,16.11
161,Port Blair,IN,2022-05-07 20:28:14,11.6667,92.75,82.44,78,75,8.05
162,Angoche,MZ,2022-05-07 20:28:14,-16.2325,39.9086,73.81,81,25,5.48
163,Tiksi,RU,2022-05-07 20:28:15,71.6872,128.8694,6.15,96,13,7.16
164,Chapais,CA,2022-05-07 20:28:16,49.7834,-74.8492,47.98,37,15,3.51
165,Skoghall,SE,2022-05-07 20:28:16,59.3232,13.4655,43.36,87,38,1.14
166,Maridi,SS,2022-05-07 20:28:17,4.9158,29.4742,70.14,86,97,1.57
167,Chokurdakh,RU,2022-05-07 20:28:15,70.6333,147.9167,14.14,95,98,9.93
168,Yazoo City,US,2022-05-07 20:28:17,32.8551,-90.4056,80.71,51,0,9.28
169,Ponta Delgada,PT,2022-05-07 20:24:16,37.7333,-25.6667,65.12,88,20,4.61
170,Isangel,VU,2022-05-07 20:28:18,-19.55,169.2667,74.98,64,15,17.63
171,Nanortalik,GL,2022-05-07 20:28:10,60.1432,-45.2371,39.9,74,100,5.55
172,Coihaique,CL,2022-05-07 20:27:02,-45.5752,-72.0662,56.01,94,100,4.61
173,Kadoma,JP,2022-05-07 20:28:19,34.7333,135.5833,60.78,63,100,10.36
174,Luderitz,NA,2022-05-07 20:24:50,-26.6481,15.1594,57.18,72,0,21.63
175,Bull Savanna,JM,2022-05-07 20:28:20,17.8868,-77.5902,81.18,68,24,14.25
176,Inongo,CD,2022-05-07 20:28:20,-1.95,18.2667,73.04,92,100,4.61
177,Zelenogorskiy,RU,2022-05-07 20:28:21,55.0333,87.0,32.41,46,30,8.23
178,Maxixe,MZ,2022-05-07 20:28:21,-23.8597,35.3472,70.03,84,0,4.5
179,Nushki,PK,2022-05-07 20:28:22,29.5542,66.0215,83.23,11,0,4.03
