City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Upernavik,GL,72.7868,-56.1549,16.72,88,23,9.57,few clouds
185,Provideniya,RU,64.3833,-173.3,32.36,80,0,4.47,clear sky
186,Tombouctou,ML,20.0,-3.0,87.22,9,27,11.25,scattered clouds
187,Ostrovnoy,RU,68.0531,39.5131,35.83,84,100,18.19,overcast clouds
188,San Patricio,US,28.017,-97.5169,93.54,52,2,14.92,clear sky
189,Kota,IN,25.1833,75.8333,88.47,21,0,12.68,clear sky
190,Kibala,TD,9.1104,18.3463,83.23,53,27,5.03,scattered clouds
191,Harare,ZW,-17.8294,31.0539,53.82,79,93,8.14,overcast clouds
192,Banjarmasin,ID,-3.3244,114.591,75.34,95,100,2.55,overcast clouds
193,College,US,64.8569,-147.8028,50.0,63,100,1.68,overcast clouds
194,Lavrentiya,RU,65.5833,-171.0,28.26,69,70,0.74,broken clouds
195,Mopipi,BW,-21.1833,24.8833,59.94,61,0,11.18,clear sky
196,Tefe,BR,-3.3542,-64.7114,80.71,89,40,4.61,scattered clouds
197,Shinuhayr,AM,39.4367,46.3179,47.86,98,96,1.92,overcast clouds
198,Along,IN,28.1667,94.7667,69.78,99,99,1.61,overcast clouds
199,Kloulklubed,PW,7.0419,134.2556,84.83,73,9,16.22,clear sky
200,Ruteng,ID,-8.6136,120.4721,63.41,89,93,1.19,overcast clouds
201,Tazovskiy,RU,67.4667,78.7,37.71,96,57,9.44,broken clouds
202,Cabo San Lucas,MX,22.8909,-109.9124,89.62,55,100,10.04,overcast clouds
203,Caceres,ES,39.522,-6.3748,60.37,82,4,4.79,clear sky
204,Caravelas,BR,-17.7125,-39.2481,76.37,87,36,8.12,scattered clouds
205,Saldanha,ZA,-33.0117,17.9442,63.63,54,69,7.78,broken clouds
206,Buala,SB,-8.145,159.5921,84.0,70,6,1.48,light rain
207,Gambela,ET,8.25,34.5833,75.0,71,43,2.93,scattered clouds
208,Shiyan,CN,32.6475,110.7781,58.64,66,8,4.63,clear sky
209,Macae,BR,-22.3708,-41.7869,70.16,89,91,5.86,overcast clouds
210,Komsomolskiy,UZ,40.4272,71.7189,69.03,41,54,1.19,broken clouds
211,Abu Kamal,SY,34.4506,40.9171,75.42,36,99,10.69,overcast clouds
212,Hami,CN,42.8,93.45,67.87,27,100,8.77,overcast clouds
213,Namibe,AO,-15.1961,12.1522,71.94,62,2,5.59,clear sky
214,Thinadhoo,MV,0.5333,72.9333,83.98,74,98,19.86,overcast clouds
215,Karratha,AU,-20.7377,116.8463,74.88,77,97,6.15,moderate rain
216,Sembakung,ID,3.8167,117.25,71.29,99,100,0.76,overcast clouds
217,Kahului,US,20.8947,-156.47,76.53,72,47,8.9,scattered clouds
218,Amahai,ID,-3.3333,128.9167,80.62,82,49,2.55,scattered clouds
219,Dingle,PH,10.9995,122.6711,79.99,81,100,0.94,overcast clouds
220,Pocone,BR,-16.2567,-56.6228,64.8,59,53,5.7,broken clouds
221,Arraial Do Cabo,BR,-22.9661,-42.0278,72.93,78,100,8.77,light rain
222,Kampong Thum,KH,12.7111,104.8887,74.01,90,100,1.28,overcast clouds
223,Yermish,RU,54.7678,42.2711,39.51,95,58,6.55,broken clouds
224,Vao,NC,-22.6667,167.4833,74.61,78,26,15.57,scattered clouds
225,Ugoofaaru,MV,5.6667,73.0,82.49,79,98,27.25,overcast clouds
226,Klaksvik,FO,62.2266,-6.589,47.32,85,21,24.27,few clouds
227,Jalu,LY,29.0331,21.5482,79.34,28,0,5.1,clear sky
228,Bolivar,US,37.6145,-93.4105,78.58,43,0,3.47,clear sky
229,Genoa,IT,44.4129,8.9573,65.62,81,40,4.0,scattered clouds
230,Eydhafushi,MV,5.1033,73.0708,82.89,80,100,25.66,overcast clouds
231,Mount Gambier,AU,-37.8333,140.7667,52.05,76,96,7.65,overcast clouds
232,Orahovac,XK,42.3994,20.6547,57.06,74,9,1.74,clear sky
233,Gazanjyk,TM,39.2446,55.5154,76.44,38,99,0.47,light rain
234,Brasileia,BR,-11.0161,-68.7481,67.03,92,100,4.97,overcast clouds
235,Yarada,IN,17.65,83.2667,84.2,81,79,9.4,broken clouds
236,Baraki Barak,AF,33.9675,68.9486,66.56,37,12,1.07,few clouds
237,Adrar,MR,20.5022,-10.0711,89.33,12,100,13.18,overcast clouds
238,Ponta Do Sol,PT,32.6667,-17.1,70.0,80,23,4.94,few clouds
239,Aklavik,CA,68.2191,-135.0107,33.08,84,41,14.03,scattered clouds
240,Zhangye,CN,38.9342,100.4517,55.85,14,100,5.48,overcast clouds
241,Tiksi,RU,71.6872,128.8694,24.22,95,100,15.03,light snow
242,Cuenca,EC,-2.8833,-78.9833,62.73,67,75,5.75,broken clouds
243,Brae,GB,60.3964,-1.353,48.43,92,100,11.5,overcast clouds
244,Black Diamond,US,47.3087,-122.0032,61.61,70,81,5.01,broken clouds
245,Grajau,BR,-5.8194,-46.1386,75.74,89,99,2.66,overcast clouds
246,Ankazoabo,MG,-22.2833,44.5167,65.07,74,0,7.52,clear sky
247,Ewo,CG,-0.8725,14.8206,75.63,83,91,1.16,overcast clouds
248,Victoria,HK,22.2855,114.1577,70.18,83,81,8.99,broken clouds
249,Tura,IN,25.5198,90.2201,71.42,97,100,5.03,overcast clouds
250,Grants Pass,US,42.439,-123.3284,75.16,42,40,10.36,scattered clouds
251,Dolores,AR,-36.3132,-57.6792,48.85,64,58,18.5,broken clouds
252,Mujiayingzi,CN,42.1167,118.7833,60.49,28,14,9.44,few clouds
253,Catuday,PH,16.2923,119.8062,79.61,78,100,6.26,overcast clouds
254,Nelson Bay,AU,-32.7167,152.15,64.99,79,0,1.99,clear sky
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.53,95,64,11.59,broken clouds
256,Darhan,MN,49.4867,105.9228,57.38,42,60,4.25,broken clouds
257,Sao Filipe,CV,14.8961,-24.4956,75.52,76,38,8.93,scattered clouds
258,Kaitangata,NZ,-46.2817,169.8464,54.36,75,100,3.38,overcast clouds
259,Vila Velha,BR,-20.3297,-40.2925,74.12,82,67,4.94,broken clouds
260,California City,US,35.1258,-117.9859,90.95,12,0,34.52,haze
261,Ocosingo,MX,17.0667,-92.25,79.7,40,69,5.44,broken clouds
262,Lebu,CL,-37.6167,-73.65,52.72,71,3,3.58,clear sky
263,Dongying,CN,37.4564,118.4856,68.23,23,14,8.79,few clouds
264,Clyde River,CA,70.4692,-68.5914,24.94,90,23,2.8,few clouds
265,Huarmey,PE,-10.0681,-78.1522,66.43,80,71,7.74,broken clouds
266,Chuy,UY,-33.6971,-53.4616,52.56,87,66,16.8,moderate rain
267,Vostok,RU,46.4856,135.8833,51.33,59,27,2.89,scattered clouds
268,Nemuro,JP,43.3236,145.575,46.18,86,88,13.15,overcast clouds
269,Ilulissat,GL,69.2167,-51.1,30.22,64,20,2.3,few clouds
270,Trincomalee,LK,8.5711,81.2335,81.23,81,88,19.69,overcast clouds
271,Bilibino,RU,68.0546,166.4372,36.41,93,99,1.57,overcast clouds
272,Zitiste,RS,45.485,20.5497,63.93,72,47,4.72,light rain
273,Matagami,CA,49.7502,-77.6328,61.18,51,100,0.98,overcast clouds
274,Marienburg,PL,54.0359,19.0266,48.88,72,87,6.6,overcast clouds
275,Dera Ismail Khan,PK,31.8327,70.9024,90.41,17,0,2.28,clear sky
276,Voyvozh,RU,62.892,54.9635,38.89,93,94,5.95,overcast clouds
277,Abaza,RU,52.655,90.0928,52.32,82,12,4.29,few clouds
278,Ulladulla,AU,-35.35,150.4667,58.73,58,0,6.78,clear sky
279,Marystown,CA,47.1666,-55.1483,45.86,100,100,8.12,overcast clouds
280,Awjilah,LY,29.1081,21.2869,78.93,29,0,3.24,clear sky
281,Fortuna,US,40.5982,-124.1573,60.93,71,100,14.97,overcast clouds
282,Kodiak,US,57.79,-152.4072,60.31,25,0,11.5,clear sky
283,Aksu,CN,41.1231,80.2644,62.78,44,17,4.47,few clouds
284,Jiangkou,CN,25.4872,119.1986,59.86,71,68,6.02,broken clouds
285,Paraiso,CR,9.8383,-83.8656,67.87,100,100,2.04,overcast clouds
286,Ust-Maya,RU,60.4167,134.5333,36.12,96,100,3.29,light rain
287,Pontalina,BR,-17.525,-49.4472,67.89,79,84,6.87,broken clouds
288,Terrace,CA,54.5163,-128.6035,48.11,76,75,23.02,broken clouds
289,Orhei,MD,47.3831,28.8231,61.79,60,81,1.45,broken clouds
290,Sayyan,YE,15.1718,44.3244,58.91,13,4,3.22,clear sky
291,Cozumel,MX,20.5083,-86.9458,82.94,75,75,10.0,broken clouds
292,Hay River,CA,60.8156,-115.7999,53.37,48,100,9.8,overcast clouds
293,Zhigansk,RU,66.7697,123.3711,28.72,86,100,5.08,overcast clouds
294,Roebourne,AU,-20.7833,117.1333,74.41,75,93,4.59,moderate rain
295,San Andres,CO,12.5847,-81.7006,81.41,82,100,13.6,overcast clouds
296,Coihueco,CL,-36.6167,-71.8333,53.08,56,0,4.0,clear sky
297,Bengkulu,ID,-3.8004,102.2655,75.85,90,100,4.79,overcast clouds
298,Nicoya,CR,10.1483,-85.452,80.42,83,100,0.94,heavy intensity rain
299,Waingapu,ID,-9.6567,120.2641,78.96,85,9,5.73,clear sky
300,Tateyama,JP,34.9833,139.8667,61.11,85,100,6.71,light rain
301,Nioro,GM,13.35,-15.75,82.15,55,48,11.45,scattered clouds
302,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,70,15,20.74,few clouds
303,Lewistown,US,40.5992,-77.5714,69.08,74,31,11.5,scattered clouds
304,Honjo,JP,36.2333,139.1833,60.67,77,99,0.76,overcast clouds
305,Oksfjord,NO,70.2396,22.3479,35.78,88,100,8.1,light rain
306,Bundaberg,AU,-24.85,152.35,76.21,89,100,5.75,overcast clouds
307,Lata,PT,40.1629,-8.3327,60.93,92,3,2.93,clear sky
308,San Francisco,US,37.7749,-122.4194,76.46,73,75,27.63,broken clouds
309,Ejutla De Crespo,MX,16.5667,-96.7333,86.95,12,19,15.66,few clouds
310,Saint-Georges,GD,12.0564,-61.7485,80.35,79,55,15.05,broken clouds
311,Raudeberg,NO,61.9875,5.1352,50.67,76,0,5.88,clear sky
312,Nikolskoye,RU,59.7035,30.7861,46.87,93,100,6.04,overcast clouds
313,La Ronge,CA,55.1001,-105.2842,42.71,68,100,6.42,overcast clouds
314,Turukhansk,RU,65.8167,87.9833,49.84,79,92,11.56,overcast clouds
315,Yenagoa,NG,4.9247,6.2642,77.31,94,100,4.16,light rain
316,Berlevag,NO,70.8578,29.0864,35.55,80,100,17.27,overcast clouds
317,Shimoda,JP,34.6667,138.95,59.11,86,100,6.22,light rain
318,Taicheng,CN,38.731,113.228,57.85,28,39,0.81,scattered clouds
319,Laives,IT,46.4228,11.3348,62.01,84,96,3.4,overcast clouds
320,Pangnirtung,CA,66.1451,-65.7125,26.24,90,25,1.03,scattered clouds
321,Ribeira Brava,PT,32.65,-17.0667,69.01,80,21,5.73,few clouds
322,Lasa,IT,46.6166,10.7002,53.69,92,98,5.66,overcast clouds
323,Dalbandin,PK,28.8947,64.4101,76.98,9,0,1.77,clear sky
324,Nizhniy Tsasuchey,RU,50.5167,115.1333,56.95,34,37,10.98,scattered clouds
325,Nanortalik,GL,60.1432,-45.2371,37.74,80,99,6.06,overcast clouds
326,Beringovskiy,RU,63.05,179.3167,37.71,78,38,2.55,scattered clouds
327,Sai Buri,TH,6.7013,101.6168,77.97,83,100,3.42,overcast clouds
328,Chaoyang,CN,41.5703,120.4586,64.62,32,95,7.27,overcast clouds
329,Andenes,NO,69.3143,16.1194,35.58,69,100,9.22,overcast clouds
330,Sisimiut,GL,66.9395,-53.6735,32.9,73,4,9.91,clear sky
331,Luba,GQ,3.4568,8.5547,80.96,84,90,4.88,light rain
332,Leningradskiy,RU,69.3833,178.4167,27.21,88,100,13.15,overcast clouds
333,Kadhan,PK,24.481,68.9859,82.2,69,0,21.07,clear sky
334,Kidal,ML,18.4411,1.4078,92.75,18,66,7.67,broken clouds
335,Souillac,MU,-20.5167,57.5167,74.53,70,98,11.92,overcast clouds
336,Tsiroanomandidy,MG,-18.7667,46.0333,58.35,76,22,2.51,few clouds
337,Lodeynoye Pole,RU,60.726,33.5531,39.07,92,100,5.03,overcast clouds
338,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,75,75,2.24,broken clouds
339,Itarema,BR,-2.9248,-39.9167,77.67,86,86,10.11,overcast clouds
340,Tarashcha,UA,49.5583,30.4926,44.33,70,36,3.65,scattered clouds
341,Shizunai,JP,42.3339,142.3669,52.36,82,92,9.98,overcast clouds
342,La Palma,US,33.8464,-118.0467,85.82,62,0,8.05,clear sky
343,Mayumba,GA,-3.432,10.6554,77.32,91,99,1.25,overcast clouds
344,Khandyga,RU,62.6667,135.6,44.29,50,100,5.19,overcast clouds
345,Eyl,SO,7.9803,49.8164,81.64,73,68,24.96,broken clouds
346,Tongling,CN,30.95,117.7833,62.94,70,0,6.22,clear sky
