City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Hithadhoo,MV,84.02,overcast clouds,-0.6,73.0833,Scoop Guest House
175,Guhagar,IN,82.06,overcast clouds,17.4842,73.1929,Hotel Seawinds
176,Saquena,PE,75.15,overcast clouds,-4.6667,-73.5167,
186,Tombouctou,ML,87.22,scattered clouds,20.0,-3.0,
189,Kota,IN,88.47,clear sky,25.1833,75.8333,Hotel Surya Royal
190,Kibala,TD,83.23,scattered clouds,9.1104,18.3463,hotel safari
192,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
196,Tefe,BR,80.71,scattered clouds,-3.3542,-64.7114,Aracati Hotel
199,Kloulklubed,PW,84.83,clear sky,7.0419,134.2556,Storyboard Beach Resort
202,Cabo San Lucas,MX,89.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
204,Caravelas,BR,76.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
206,Buala,SB,84.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
207,Gambela,ET,75.0,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
211,Abu Kamal,SY,75.42,overcast clouds,34.4506,40.9171,البوكمال
214,Thinadhoo,MV,83.98,overcast clouds,0.5333,72.9333,
217,Kahului,US,76.53,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
218,Amahai,ID,80.62,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
219,Dingle,PH,79.99,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
225,Ugoofaaru,MV,82.49,overcast clouds,5.6667,73.0,Ungoofaaru Inn
227,Jalu,LY,79.34,clear sky,29.0331,21.5482,صاحبة الفخامة
228,Bolivar,US,78.58,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
230,Eydhafushi,MV,82.89,overcast clouds,5.1033,73.0708,Soneva Fushi
233,Gazanjyk,TM,76.44,light rain,39.2446,55.5154,Railway motel
235,Yarada,IN,84.2,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
237,Adrar,MR,89.33,overcast clouds,20.5022,-10.0711,
245,Grajau,BR,75.74,overcast clouds,-5.8194,-46.1386,Hotel Confiança
247,Ewo,CG,75.63,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
